"NO,POLIKLINIK,NAMA DOKTER,SENIN,SELASA,RABU,KAMIS,JUMAT,SABTU"
"1,Klinik Anak,""dr. Vollico Nenni S, Sp. A"",08.00 - Selesai,-,08.00 - Selesai,-,08.00 - Selesai,-"
"2,Klinik Anak,""dr. Primitasari, Sp. A"",-,08.00 - Selesai,08.00 - Selesai,08.00 - Selesai,-,-"
"3,Klinik Anak,""dr. Runtika Dewi, Sp. A"",08.00 - Selesai,08.00 - Selesai,-,08.00 - Selesai,08.00 - Selesai,-"
"4,Klinik Anak,""dr. Siska Natalia S, Sp. A"",08.00 - Selesai,08.00 - Selesai,-,-,08.00 - Selesai,-"
"5,Klinik Anak Neonatologi,""dr. Arum Gunarsih, SpA(K)"",-,08.00 - Selesai,-,08.00 - Selesai,-,-"
"6,Klinik Anastesi,""dr. Danny M. Iqbal, Sp. An, M. Kes"",-,08.00 - Selesai,-,-,08.00 - Selesai,-"
"7,Klinik Anastesi,""dr. Hamdan, Sp. An"",-,-,08.00 - Selesai,-,10.00 - Selesai,-"
"8,Klinik Anastesi,""dr. Sherlina R Padidi, Sp. An, M.Kes"",09.00 - Selesai,-,- ,09.00 - Selesai,-,-"
"9,Klinik Bedah Mulut,""drg. Dhanni Gustiana, Sp. BMM, Subsp. TMF-TMJ (K)"", 08.00 - Selesai,08.00 - Selesai,08.00 - Selesai,08.00 - Selesai,-,-"
"10,Klinik Bedah Umum,""dr. M. Reza J.Zen, Sp. B"",08.00 - Selesai,-,08.00 - Selesai,-,-,-"
"11,Klinik Bedah Umum,""dr. Hesti L Tandy MSi.Med, Sp.B"",-,-, -,10.00 - Selesai,08.00 - Selesai,-"
"12,Klinik Diabetic Center,dr. Retno Widowati,08.00  - Selesai, 08.00 - Selesai,08.00  - Selesai,08.00 - Selesai,08.00 - Selesai,-"
"13,Klinik Digestive,""dr. Syahfreadi, SpB, Subsp.BD(K), FICS"", -,08.00 -  Selesai,-,14.00 - Selesai,-,-"
"14,Klinik Forensik,""dr. Kinanti Putri Utami, Sp. F"",08.00 - Selesai,-,08.00 - Selesai,08.00 - Selesai,08.00 - Selesai,-"
"16,Klinik Gigi,drg. Valery Diana,10.00 - Selesai,- ,- ,10.00 - Selesai,10.00 - Selesai,-"
"17,Klinik Gigi,drg. Mira fahmi,09.00 - Selesai,- ,09.00 - Selesai,- ,08.00 - Selesai,-"
"18,Klinik Gigi,drg. Yosi Utami, - ,09.00 - Selesai,- ,09.00 - Selesai,09.00 - Selesai,-"
"19,Klinik Gizi,""dr. Dian Permatasari, M. Gizi, Sp. GK"",08.00 - Selesai,-,08.00 - Selesai,-,08.00 - Selesai,-"
"20,Klinik Hemodialisa,dr. Ardi,06.00 -  Selesai,06.00 -  Selesai,06.00 -  Selesai,06.00 -  Selesai,06.00 -  Selesai,06.00 -  Selesai"
"21,Klinik Jantung,""dr. Adhi Kurniawan, Sp.JP.FIHA"",-, -,-,-,-,-"
"22,Klinik Jantung,""dr. Luluk Dwi Yuni, Sp.JP.FIHA"",-,08.00 - Selesai,-,08.00 - Selesai,08.00 - Selesai,-"
"23,Klinik Jantung,""dr. Shafira Nadia, Sp.JP.FIHA"",08.00 - Selesai,08.00 -  Selesai,08.00 - Selesai,- ,-,-"
"24,Klinik Jantung,""dr. Nikhen Noverike, Sp.JP"",08.00 - Selesai,-,08.00 -  Selesai,08.00 -  Selesai,08.00 -  Selesai,-"
"25,Klinik Jiwa,""dr. Rudy Wijono, Sp. KJ"",- ,- ,08.00 -  Selesai,08.00 -  Selesai,08.00 -  Selesai,-"
"26,Klinik Jiwa,""dr. Azizah, Sp. KJ"",08.00 -  Selesai,08.00 -  Selesai,-,-,08.00 -  Selesai,-"
"27,Klinik Jiwa,""dr.  Agus Sofyan Syawaludin, Sp.KJ"",08.00 -  Selesai,-,08.00 -  Selesai,08.00 - Selesai,-,-"
"28,Klinik Kandungan,""dr. Wahyuningtyas, Sp.OG"",-,08.00 - Selesai, - ,10.00 -  Selesai,-,-"
